objectid,filename,title,creator,,,date,description,subject,location,latitude,longitude,source,format original,format,type,identifier,language,rights,rightsstatement
watkins10,,,,,,,,,,,,,Black and White Photograph,image/jpeg,Image;StillImage,89-1180,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins11,,,,,,,,,,,,,Black and White Photograph,image/jpeg,Image;StillImage,89-1164,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins12,,,,,,,,,,,,,Black and White Photograph,image/jpeg,Image;StillImage,89-1182,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins13,,,,,,,,,,,,,Black and White Photograph,image/jpeg,Image;StillImage,89-1183,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
help:,https://collectionbuilder.github.io/cb-docs/docs/walkthroughs/sheets-walkthrough/,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
description,"The website serves as a digital exhibiton of ""New York City: The Bronx."" The exhibition was carefully curated to shoawcase The Bronx's identity, history, and culture",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
website: ,https://collectionbuilder.github.io/collectionbuilder-sheets/?csv=https://docs.google.com/spreadsheets/d/e/2PACX-1vTgWeGKXT-z8K3z-Je1wmGTZujL1sdDBqxjf_xuwJd_CgIzDPWI-CUokr81SpLD0uwYeDr_k-hbx41i/pub?output=csv ,,,,,,,,,,,,,,,,,,
